"","Volume","Speed","Delay","Stops","Date","Time","Day"
"1",93,19,47,52,"10/13/13","0:00","Sun"
"2",103,25,52,72,"10/13/13","0:05","Sun"
"3",92,27,47,64,"10/13/13","0:10","Sun"
"4",71,14,36,51,"10/13/13","0:15","Sun"
"5",196,22,99,124,"10/13/13","0:20","Sun"
"6",156,34,78,108,"10/13/13","0:25","Sun"
"7",55,14,28,43,"10/13/13","0:30","Sun"
"8",48,11,24,36,"10/13/13","0:35","Sun"
"9",100,26,51,76,"10/13/13","0:40","Sun"
"10",140,27,71,88,"10/13/13","0:45","Sun"
"11",99,22,50,67,"10/13/13","0:50","Sun"
"12",71,21,36,47,"10/13/13","0:55","Sun"
"13",67,19,34,55,"10/13/13","1:00","Sun"
"14",73,22,37,57,"10/13/13","1:05","Sun"
"15",134,27,68,103,"10/13/13","1:10","Sun"
"16",120,23,60,84,"10/13/13","1:15","Sun"
"17",148,26,75,84,"10/13/13","1:20","Sun"
"18",132,30,66,84,"10/13/13","1:25","Sun"
"19",50,19,26,43,"10/13/13","1:30","Sun"
"20",88,25,45,64,"10/13/13","1:35","Sun"
"21",57,23,29,52,"10/13/13","1:40","Sun"
"22",115,26,58,79,"10/13/13","1:45","Sun"
"23",79,19,40,48,"10/13/13","1:50","Sun"
"24",72,32,36,72,"10/13/13","1:55","Sun"
"25",91,30,46,55,"10/13/13","2:00","Sun"
"26",64,15,33,52,"10/13/13","2:05","Sun"
"27",84,27,42,60,"10/13/13","2:10","Sun"
"28",103,27,52,67,"10/13/13","2:15","Sun"
"29",141,22,71,100,"10/13/13","2:20","Sun"
"30",108,25,54,72,"10/13/13","2:25","Sun"
"31",88,26,45,64,"10/13/13","2:30","Sun"
"32",86,21,44,67,"10/13/13","2:35","Sun"
"33",35,16,18,35,"10/13/13","2:40","Sun"
"34",76,19,39,60,"10/13/13","2:45","Sun"
"35",86,23,44,55,"10/13/13","2:50","Sun"
"36",16,7,9,16,"10/13/13","2:55","Sun"
"37",16,7,8,11,"10/13/13","3:00","Sun"
"38",84,33,42,60,"10/13/13","3:05","Sun"
"39",31,10,16,23,"10/13/13","3:10","Sun"
"40",43,14,22,31,"10/13/13","3:15","Sun"
"41",24,11,12,24,"10/13/13","3:20","Sun"
"42",12,5,6,12,"10/13/13","3:25","Sun"
"43",36,11,18,24,"10/13/13","3:30","Sun"
"44",36,16,18,36,"10/13/13","3:35","Sun"
"45",28,5,14,16,"10/13/13","3:40","Sun"
"46",67,22,34,55,"10/13/13","3:45","Sun"
"47",16,7,8,16,"10/13/13","3:50","Sun"
"48",43,17,22,43,"10/13/13","3:55","Sun"
"49",28,7,14,16,"10/13/13","4:00","Sun"
"50",31,14,16,31,"10/13/13","4:05","Sun"
"51",12,5,6,12,"10/13/13","4:10","Sun"
"52",24,5,12,24,"10/13/13","4:15","Sun"
"53",0,0,0,0,"10/13/13","4:20","Sun"
"54",36,16,18,36,"10/13/13","4:25","Sun"
"55",28,7,14,28,"10/13/13","4:30","Sun"
"56",12,5,6,12,"10/13/13","4:35","Sun"
"57",31,14,16,31,"10/13/13","4:40","Sun"
"58",12,5,6,12,"10/13/13","4:45","Sun"
"59",0,0,0,0,"10/13/13","4:50","Sun"
"60",4,1,2,4,"10/13/13","4:55","Sun"
"61",19,9,10,19,"10/13/13","5:00","Sun"
"62",16,4,8,16,"10/13/13","5:05","Sun"
"63",19,9,10,19,"10/13/13","5:10","Sun"
"64",0,0,0,0,"10/13/13","5:15","Sun"
"65",0,0,0,0,"10/13/13","5:20","Sun"
"66",12,5,6,12,"10/13/13","5:25","Sun"
"67",28,7,14,16,"10/13/13","5:30","Sun"
"68",19,9,10,19,"10/13/13","5:35","Sun"
"69",12,5,6,12,"10/13/13","5:40","Sun"
"70",20,6,11,16,"10/13/13","5:45","Sun"
"71",39,8,20,31,"10/13/13","5:50","Sun"
"72",24,11,12,24,"10/13/13","5:55","Sun"
"73",36,16,18,36,"10/13/13","6:00","Sun"
"74",36,8,18,24,"10/13/13","6:05","Sun"
"75",12,5,6,12,"10/13/13","6:10","Sun"
"76",24,11,12,24,"10/13/13","6:15","Sun"
"77",64,14,33,52,"10/13/13","6:20","Sun"
"78",56,21,29,52,"10/13/13","6:25","Sun"
"79",47,6,24,39,"10/13/13","6:30","Sun"
"80",48,10,24,36,"10/13/13","6:35","Sun"
"81",24,11,12,24,"10/13/13","6:40","Sun"
"82",52,11,27,40,"10/13/13","6:45","Sun"
"83",43,17,22,43,"10/13/13","6:50","Sun"
"84",96,20,48,72,"10/13/13","6:55","Sun"
"85",39,16,21,31,"10/13/13","7:00","Sun"
"86",24,9,13,20,"10/13/13","7:05","Sun"
"87",67,11,34,43,"10/13/13","7:10","Sun"
"88",60,19,31,56,"10/13/13","7:15","Sun"
"89",87,29,44,67,"10/13/13","7:20","Sun"
"90",72,14,36,60,"10/13/13","7:25","Sun"
"91",84,25,42,60,"10/13/13","7:30","Sun"
"92",44,16,23,40,"10/13/13","7:35","Sun"
"93",136,30,69,88,"10/13/13","7:40","Sun"
"94",99,27,50,75,"10/13/13","7:45","Sun"
"95",124,31,63,88,"10/13/13","7:50","Sun"
"96",119,20,60,75,"10/13/13","7:55","Sun"
"97",69,23,35,60,"10/13/13","8:00","Sun"
"98",74,13,38,47,"10/13/13","8:05","Sun"
"99",80,17,41,52,"10/13/13","8:10","Sun"
"100",87,18,44,55,"10/13/13","8:15","Sun"
"101",40,18,20,40,"10/13/13","8:20","Sun"
"102",96,20,48,72,"10/13/13","8:25","Sun"
"103",79,17,40,55,"10/13/13","8:30","Sun"
"104",52,18,26,40,"10/13/13","8:35","Sun"
"105",88,27,44,60,"10/13/13","8:40","Sun"
"106",87,22,44,55,"10/13/13","8:45","Sun"
"107",168,29,84,120,"10/13/13","8:50","Sun"
"108",69,18,35,48,"10/13/13","8:55","Sun"
"109",134,28,68,95,"10/13/13","9:00","Sun"
"110",153,30,77,88,"10/13/13","9:05","Sun"
"111",103,30,52,72,"10/13/13","9:10","Sun"
"112",157,24,79,117,"10/13/13","9:15","Sun"
"113",130,31,66,98,"10/13/13","9:20","Sun"
"114",120,31,60,96,"10/13/13","9:25","Sun"
"115",108,32,54,72,"10/13/13","9:30","Sun"
"116",124,29,62,71,"10/13/13","9:35","Sun"
"117",180,27,91,132,"10/13/13","9:40","Sun"
"118",141,26,71,93,"10/13/13","9:45","Sun"
"119",230,27,116,158,"10/13/13","9:50","Sun"
"120",150,32,75,102,"10/13/13","9:55","Sun"
"121",218,32,110,158,"10/13/13","10:00","Sun"
"122",266,29,133,178,"10/13/13","10:05","Sun"
"123",228,29,115,148,"10/13/13","10:10","Sun"
"124",175,30,88,107,"10/13/13","10:15","Sun"
"125",204,27,102,144,"10/13/13","10:20","Sun"
"126",276,27,138,180,"10/13/13","10:25","Sun"
"127",144,23,73,108,"10/13/13","10:30","Sun"
"128",188,33,94,124,"10/13/13","10:35","Sun"
"129",123,27,62,91,"10/13/13","10:40","Sun"
"130",172,30,87,116,"10/13/13","10:45","Sun"
"131",276,32,138,192,"10/13/13","10:50","Sun"
"132",231,28,116,137,"10/13/13","10:55","Sun"
"133",232,23,117,148,"10/13/13","11:00","Sun"
"134",239,24,121,159,"10/13/13","11:05","Sun"
"135",254,33,129,167,"10/13/13","11:10","Sun"
"136",246,27,124,185,"10/13/13","11:15","Sun"
"137",207,30,105,139,"10/13/13","11:20","Sun"
"138",296,31,150,200,"10/13/13","11:25","Sun"
"139",314,29,158,209,"10/13/13","11:30","Sun"
"140",361,27,182,273,"10/13/13","11:35","Sun"
"141",249,32,126,162,"10/13/13","11:40","Sun"
"142",250,25,127,166,"10/13/13","11:45","Sun"
"143",171,19,87,116,"10/13/13","11:50","Sun"
"144",303,31,153,223,"10/13/13","11:55","Sun"
"145",199,23,101,131,"10/13/13","12:00","Sun"
"146",274,32,139,195,"10/13/13","12:05","Sun"
"147",219,30,111,162,"10/13/13","12:10","Sun"
"148",252,27,128,184,"10/13/13","12:15","Sun"
"149",222,28,113,156,"10/13/13","12:20","Sun"
"150",228,24,115,154,"10/13/13","12:25","Sun"
"151",294,27,148,194,"10/13/13","12:30","Sun"
"152",246,30,125,167,"10/13/13","12:35","Sun"
"153",289,29,146,201,"10/13/13","12:40","Sun"
"154",311,28,157,238,"10/13/13","12:45","Sun"
"155",205,30,104,137,"10/13/13","12:50","Sun"
"156",377,27,190,262,"10/13/13","12:55","Sun"
"157",297,28,150,217,"10/13/13","13:00","Sun"
"158",406,25,205,290,"10/13/13","13:05","Sun"
"159",391,29,197,270,"10/13/13","13:10","Sun"
"160",236,61,122,414,"10/13/13","13:15","Sun"
"161",150,29,77,129,"10/13/13","13:20","Sun"
"162",237,29,120,152,"10/13/13","13:25","Sun"
"163",278,24,141,179,"10/13/13","13:30","Sun"
"164",273,26,138,194,"10/13/13","13:35","Sun"
"165",232,24,118,175,"10/13/13","13:40","Sun"
"166",242,30,122,162,"10/13/13","13:45","Sun"
"167",188,32,96,132,"10/13/13","13:50","Sun"
"168",215,28,109,147,"10/13/13","13:55","Sun"
"169",251,24,127,171,"10/13/13","14:00","Sun"
"170",251,26,127,171,"10/13/13","14:05","Sun"
"171",197,26,100,129,"10/13/13","14:10","Sun"
"172",280,23,142,188,"10/13/13","14:15","Sun"
"173",244,28,123,164,"10/13/13","14:20","Sun"
"174",322,27,163,242,"10/13/13","14:25","Sun"
"175",271,27,137,175,"10/13/13","14:30","Sun"
"176",219,28,111,155,"10/13/13","14:35","Sun"
"177",262,29,132,165,"10/13/13","14:40","Sun"
