Year,Direction,Speed,Temperature,SeaLevelPressure
2.0131E+11,100,7,64,1022
2.0131E+11,130,5,62,1022.4
2.0131E+11,130,8,63,1022.7
2.0131E+11,130,6,62,1023
2.0131E+11,150,7,60,1023.4
2.0131E+11,150,11,61,1023.4
2.0131E+11,150,11,62,1023
2.0131E+11,140,14,59,1023.4
2.0131E+11,140,10,59,1024
2.0131E+11,140,15,60,1024
2.0131E+11,140,9,59,1024.7
2.0131E+11,140,7,59,1024.7
2.0131E+11,140,9,59,1025.4
2.0131E+11,150,8,60,1025.7
2.0131E+11,130,3,61,1026.1
2.0131E+11,110,5,65,1026.1
2.0131E+11,90,8,66,1025.7
2.0131E+11,200,7,70,1025.1
2.0131E+11,230,11,70,1025.1
2.0131E+11,220,8,70,1024.7
2.0131E+11,210,9,68,1024.7
2.0131E+11,230,10,66,1024.7
2.0131E+11,200,6,67,1024.7
2.0131E+11,160,7,66,1024.7
2.0131E+11,210,5,64,1025.1
2.0131E+11,170,10,64,1025.4
2.0131E+11,190,8,63,1025.7
2.0131E+11,210,9,63,1025.4
2.0131E+11,210,10,62,1025.4
2.0131E+11,210,11,62,1025.1
2.0131E+11,220,9,61,1025.4
2.0131E+11,290,14,60,1025.4
2.0131E+11,310,15,59,1026.1
2.0131E+11,290,9,57,1026.8
2.0131E+11,300,13,57,1026.8
2.0131E+11,270,7,56,1027.1
2.0131E+11,240,5,56,1027.4
2.0131E+11,250,8,56,1028.1
2.0131E+11,260,7,57,1028.1
2.0131E+11,270,7,58,1027.8
2.0131E+11,320,9,59,1027.8
2.0131E+11,330,11,58,1027.4
2.0131E+11,340,10,59,1026.4
2.0131E+11,330,15,61,1026.4
2.0131E+11,330,15,60,1026.1
2.0131E+11,320,13,60,1026.1
2.0131E+11,320,11,60,1026.8
2.0131E+11,320,9,60,1027.1
2.0131E+11,10,9,60,1027.1
2.0131E+11,240,3,57,1027.1
2.0131E+11,210,7,53,1027.4
2.0131E+11,210,7,53,1027.1
2.0131E+11,210,6,52,1026.8
2.0131E+11,200,6,51,1026.4
2.0131E+11,210,6,50,1026.1
2.0131E+11,220,7,50,1025.7
2.0131E+11,220,7,50,1025.7
2.0131E+11,190,3,49,1025.1
2.0131E+11,180,5,48,1025.1
2.0131E+11,180,3,48,1025.1
2.0131E+11,170,3,49,1025.1
2.0131E+11,160,5,52,1024.7
2.0131E+11,150,6,54,1024.7
2.0131E+11,100,7,56,1023.7
2.0131E+11,90,3,62,1022.7
2.0131E+11,90,8,63,1022.4
2.0131E+11,70,8,65,1020.7
2.0131E+11,30,10,65,1020
2.0131E+11,100,8,66,1018.6
2.0131E+11,150,8,67,1018.6
2.0131E+11,170,5,66,1018.6
2.0131E+11,140,6,64,1018.3
2.0131E+11,160,2,63,1017.6
2.0131E+11,***,0,62,1017.3
2.0131E+11,150,11,63,1016.3
2.0131E+11,150,13,62,1015.2
2.0131E+11,160,11,63,1015.2
2.0131E+11,160,13,64,1014.9
2.0131E+11,150,11,64,1014.2
2.0131E+11,160,17,65,1013.5
2.0131E+11,170,14,65,1013.2
2.0131E+11,170,13,65,1012.9
2.0131E+11,170,14,65,1012.5
2.0131E+11,160,11,65,1012.5
2.0131E+11,170,10,61,1013.2
2.0131E+11,170,8,60,1013.2
2.0131E+11,160,10,61,1012.9
2.0131E+11,170,13,63,1012.5
2.0131E+11,170,13,63,1012.2
2.0131E+11,170,15,64,1011.5
2.0131E+11,160,14,64,1010.8
2.0131E+11,170,14,64,1010.8
2.0131E+11,170,11,64,1010.2
2.0131E+11,170,15,67,1009.1
2.0131E+11,170,14,66,1009.1
2.0131E+11,170,13,65,1008.5
2.0131E+11,180,14,65,1008.8
2.0131E+11,180,10,62,1009.1
2.0131E+11,230,14,62,1009.8
2.0131E+11,230,11,61,1010.2
2.0131E+11,240,13,60,1010.5
2.0131E+11,230,9,58,1011.5
2.0131E+11,220,7,57,1011.9
2.0131E+11,240,11,55,1011.9
2.0131E+11,230,9,55,1011.9
2.0131E+11,220,7,53,1011.9
2.0131E+11,210,7,53,1012.2
2.0131E+11,210,9,54,1012.2
2.0131E+11,200,10,55,1012.5
2.0131E+11,230,6,56,1012.9
2.0131E+11,220,7,56,1012.9
2.0131E+11,230,6,58,1012.5
2.0131E+11,260,7,59,1012.2
2.0131E+11,240,2,61,1011.5
2.0131E+11,50,6,59,1010.5
2.0131E+11,20,7,61,1009.8
2.0131E+11,20,7,61,1009.5
2.0131E+11,30,9,61,1007.8
2.0131E+11,50,17,60,1006.8
2.0131E+11,20,7,60,1007.8
2.0131E+11,300,5,58,1008.5
2.0131E+11,350,20,56,1007.5
2.0131E+11,40,16,56,1005.8
2.0131E+11,310,3,57,1006.8
2.0131E+11,240,9,54,1007.1
2.0131E+11,220,11,54,1007.5
2.0131E+11,220,11,54,1007.5
2.0131E+11,220,11,53,1007.8
2.0131E+11,230,9,53,1008.1
2.0131E+11,230,11,53,1008.1
2.0131E+11,230,10,53,1008.8
2.0131E+11,240,14,53,1009.1
2.0131E+11,230,14,53,1009.8
2.0131E+11,240,16,54,1010.5
2.0131E+11,240,17,54,1012.2
